Surname,#Awards,Education
Commons,0,None
Khan,3,"Mobile Cloud Computing,  Cybersecurity,  IoT"
Aalst,3,"business process management,  process mining,  Petri nets"
Aaronson,1,quantum computing and complexity theory
Abebe,2,"algorithms,  artificial intelligence"
Abelson,1,intersection of computing and teaching
Abiteboul,1,database theory
Abramsky,1,game semantics
Adleman,2,"RSA,  DNA computing"
Agrawal,1,polynomial-time primality testing
Ahn,1,human-based computation
Aho,2,"compilers book,  the 'a' in AWK"
Allen,1,compiler optimization
Amdahl,2,"supercomputer developer,  Amdahl Corporation founder"
Anderson,1,volunteer computing
Anthony,1,natural user interfaces
Appel,1,compiler of text books
Aragon,2,"invented treap,  human-centered data science"
Arden,3,"programming language compilers ),  virtual memory architecture,  Michigan Terminal System"
Japan,0,None
Arora,1,PCP theorem
Asprey,1,established the computer science curriculum at Vassar College
Atanasoff,2,"computer pioneer,  creator of Atanasoff Berry Computer"
Atre,1,database theory
Babbage,1,invented first mechanical computer called the supreme mathematician
Bachman,2,"American computer scientist,  known for Integrated Data Store"
Backhouse,3,"mathematics of computer program construction,  algorithmic problem solving,  ALGOL"
Backus,3,"FORTRAN,  Backus–Naur form,  first complete compiler"
Bacon,2,"programming languages,  garbage collection"
Bader,0,None
Bahl,0,None
Barr,1,SAS System
Bartik,8,"one of the first computer programmers,  on ENIAC ,  one of the first Vacuum tube computers,  back when ""programming"" involved using cables,  dials,  and switches to physically rewire the machine; worked with John Mauchly toward BINAC ,  EDVAC ,  UNIVAC  to develop early ""stored program"" computers"
Barto,0,None
Bauer,5,"Stack ,  Sequential Formula Translation,  ALGOL,  software engineering,  Bauer–Fike theorem"
Bayer,1,B-tree
Bell,2,"computer designer DEC VAX,  author: Computer Structures"
Bellovin,1,network security
scientist,0,None
Berners-Lee,1,World Wide Web
Bernstein,2,"qmail,  software as protected speech"
Bernus,0,None
Bhushan,0,None
Blaauw,1,one of the principal designers of the IBM System 360 line of computers
Black,0,None
Blei,0,None
Blum,1,National Security Agency
Blum,1,complexity
Blum,1,cryptography
Boehm,2,"software engineering economics,  spiral development"
Bollacker,0,None
Bonwick,1,invented slab allocation and ZFS
Booch,2,"Unified Modeling Language,  Object Management Group"
Boole,1,Boolean logic
Booth,1,developed the first rotating drum storage device
Booth,1,developed the first assembly language
Borg,2,"American computer scientist,  founder of Anita Borg Institute for Women and Technology"
Bos,1,Cascading Style Sheets
Botvinnik,3,"World Chess Champion,  computer scientist and electrical engineer,  pioneered early expert system AI and computer chess"
Bowen,2,"Z notation,  formal methods"
Bourne,2,"Bourne shell,  portable ALGOL 68C compiler"
Bouwman,2,"Dutch Information systems researcher,  and Professor at the Åbo Akademi University"
Boyer,2,"string searching,  ACL2 theorem prover"
Brandenburg,1,Main mp3 contributor
pioneer,0,None
Breed,3,"implementation of Iverson Notation ,  co-developed APL\360,  Scientific Time Sharing Corporation cofounder"
Bresenham,2,"early computer-graphics contributions,  including Bresenham's algorithm"
Brin,1,co-founder of Google
Brown,2,"unified memory architecture,  binary compatibility"
Hansen,8,"RC 4000 multiprogramming system,  operating system kernels,  microkernels,  monitors,  concurrent programming,  Concurrent Pascal,  distributed computing & processes,  parallel computing"
Brinkkemper,1,methodology of product software development
Brooks,4,"System 360,  OS/360,  The Mythical Man-Month,  No Silver Bullet"
Brooks,0,None
Burnett,3,"visual programming languages,  end-user software engineering,  and gender-inclusive software"
Butler,1,Event-B
Gil,1,cryptography
Camp,1,wireless computing
Campbell-Kelly,1,history of computing
Candlin,0,None
Corporation,0,None
Cantrill,1,invented DTrace
Cardelli,0,None
Carmack,1,codeveloped Doom
education,0,None
Catmull,1,computer graphics
Cerf,2,"Internet,  TCP/IP"
Chaitin,0,None
Cailliau,1,Belgian computer scientist
Chaochen,1,duration calculus
Chen,3,"entity-relationship model,  data modeling,  conceptual model"
Chiariglione,1,founder of MPEG
Chou,1,computer scientist and activist
Church,2,"mathematics of combinators,  lambda calculus"
Ciaramella,2,"speech recognition,  patent informatics"
Clarke,1,model checking
Cocke,1,RISC
Codd,1,formulated the database relational model
Cohen,1,computer science professor
Coldwater,1,computer security
Colton,1,computational creativity
Colmerauer,1,Prolog
Comer,1,Xinu
Compton,1,Ripple Down Rules
Conway,3,"CORC,  CUPL,  and PL/C languages and dialects; programming textbooks"
Cormack,1,co-invented dynamic Markov compression
Cook,1,NP-completeness
Cooley,1,Fast Fourier transform
Cooper,1,open-source software
Cosper,1,open-source software
Cousot,1,abstract interpretation
Cox,1,digital watermarking
Cray,2,"Cray Research,  supercomputer"
